sentence,pattern,lang_type,pos_sequence,sequence_length,error
但係 呢 但係 呢 我 可以 噉講,C7,Cantonese,CCONJ PART CCONJ PART PRON AUX PRON,7,False
Ah 講 吓 西班牙 話 嗰啲 人士 呢 呢 都 真係 見 得 多 喎 佢,E1-C15,Code-switched,INTJ VERB PART NOUN VERB PRON NOUN PART PART ADV ADV VERB PART ADJ PART PRON,16,False
講 吓 西班牙 話 嗰啲 人士 呢 呢 都 真係 見 得 多 喎 佢 code switch,C15-E2,Code-switched,VERB PART NOUN VERB PRON NOUN PART PART ADV ADV VERB PART ADJ PART PRON PROPN NOUN,17,False
啫 係 講 吓 英文 呢 佢 突然間 講 西班牙 文 相反,C12,Cantonese,PART VERB VERB PART PROPN PART PRON ADV VERB PROPN PROPN ADV,12,False
就係 噉樣 嘅 可能 呢 啫 係 我哋 因為 受到 你 知 影響 啊,C14,Cantonese,ADV PRON PART NOUN PART PART VERB PRON CCONJ VERB PRON VERB VERB PART,14,False
就係 噉樣 嘅 可能 呢 啫 係 我哋 因為 受到 你 知 影響 啊 ah 我哋 啫 係 suppress suppress 啫 係 壓低 啊 ah 打 甚至 啊 強力 啫 係 逼 自己 講 英文 呀,C14-E1-C4-E1-C16,Code-switched,ADV PRON PART NOUN PART PART VERB PRON CCONJ VERB PRON VERB VERB PART INTJ PRON PART VERB X VERB PART VERB VERB PART INTJ VERB ADP PART NOUN PART VERB VERB PRON VERB PROPN PART,36,False
suppress 啫 係 壓低 啊 ah 打 甚至 啊 強力 啫 係 逼 自己 講 英文 呀 ah 啫 係 壓低 啊 ah 打 甚至 啊 強力 啫 係 逼 自己 講 英文 呀,E1-C16-E1-C16,Code-switched,VERB PART VERB VERB PART INTJ VERB ADP PART NOUN PART VERB VERB PRON VERB PROPN PART INTJ PART VERB VERB PART INTJ VERB ADP PART NOUN PART VERB VERB PRON VERB PROPN PART,34,False
所以 呢 就 唔會 有 呢個 能力 ah 啫 係 好多 人 唔會 有 呢個 能力 就 code switch,C7-E1-C9-E2,Code-switched,CCONJ PART ADV ADV VERB PRON NOUN INTJ PART VERB NUM NOUN ADV VERB PRON NOUN ADV PROPN NOUN,19,False
啊 啫 係 英 就 英 啦 中 就 中 啦 係咪 係咪,C13,Cantonese,PART PART VERB PROPN ADV PROPN NOUN ADV ADV ADV NOUN VERB VERB,13,False
好多時 都 噉樣 諗 唔會 話 除非 呢 啫 係噉 講 一係 佢 中文 呢 就 唔 識 ah 好多時 都 噉樣 諗 唔會 話 ah 除非 呢 啫 係噉 講 一係 佢 中文 呢 就 唔 識,C18-E1-C19,Code-switched,ADV ADV PRON VERB ADV VERB CCONJ PART PART ADV VERB ADV PRON PROPN PART ADV ADV VERB INTJ ADV ADV PRON VERB ADV VERB PROPN CCONJ PART PART ADV VERB ADV PRON PROPN PART ADV ADV VERB,38,False
係 啊 啫 係 如果 code switch 呢 我 呢個 多數 見到 呢個 phenom 呢 係 當中 呢 多數人 係 啲 人 ah 想 講 中文 但係 唔 識講 eh 嗰 句 呀,C5-E2-C6-E1-C8-E1-C6-E1-C3,Code-switched,VERB PART PART VERB CCONJ PROPN NOUN PART PRON PRON NUM VERB PRON NOUN PART VERB ADV PART NOUN VERB NOUN NOUN INTJ AUX VERB PROPN CCONJ ADV VERB INTJ PRON NOUN PART,33,False
就 套 用 嘅 英文 嘅 詞 彙,C8,Cantonese,ADV NOUN VERB PART PROPN PART VERB NOUN,8,False
尤其是 嗰個 詞 係 比較 ah 深厚 啲 阿 uh 深厚 啲 或者 係 係 技術 上 嘅 嘅 術語 啊,C5-E1-C3-E1-C11,Code-switched,ADV PRON NOUN VERB ADV INTJ ADJ PART PROPN INTJ ADJ PART CCONJ VERB VERB NOUN ADV PART PART NOUN PART,21,False
但係 佢哋 無辦法 會 捉摸 到,C6,Cantonese,CCONJ PRON ADJ AUX VERB PART,6,False
所以 就 會 多數 係 嗰時 候 呢 如果 佢哋 係 先 講 中文 呢 佢 先 會 套用 但係 啲 英文,C22,Cantonese,CCONJ ADV AUX NUM VERB PRON NOUN PART CCONJ PRON VERB ADV VERB PROPN PART PRON ADV AUX ADJ CCONJ NOUN PROPN,22,False
但係 我 啫 係 好 似 字 噉講 呢 Ah,C9-E1,Code-switched,CCONJ PRON PART VERB ADV VERB NOUN PRON PART INTJ,10,False
但係 我 啫 係 好 似 字 噉講 呢 Ah 好 小 話 從 英文 講開 呢 佢 就 會 eh code switch 就 掟 返 啲 中文 我 就 好 少見,C9-E1-C10-E3-C9,Code-switched,CCONJ PRON PART VERB ADV VERB NOUN PRON PART INTJ ADV ADJ VERB ADP PROPN PART PART PRON ADV AUX INTJ NOUN NOUN ADV VERB PART NOUN PROPN PRON ADV ADV NOUN,32,False
係 因為 我哋 覺得 呢 啫 係 英文 就 比較 係 個 priority Ah,C12-E2,Code-switched,VERB CCONJ PRON VERB PART PART VERB PROPN ADV VERB VERB NOUN NOUN INTJ,14,False
priority Ah 係 主要 個 優先,E2-C4,Code-switched,NOUN INTJ VERB ADJ NOUN NOUN,6,False
所以 我哋 好 少 話 哦 就 從 英文 呢 就 突然間 係 多 啲 中文,C16,Cantonese,CCONJ PRON ADV ADJ VERB INTJ ADV PROPN PROPN PART ADV ADV VERB ADJ PART PROPN,16,False
噉樣 好 少 嘅,C4,Cantonese,CCONJ ADV ADJ PART,4,False
所以 我 最 問 聲 你 係 eh 係 eh 係 grad school 係 eh 係 讀 linguistics 係咪,C7-E1-C1-E1-C1-E2-C1-E1-C2-E1-C1,Code-switched,CCONJ PRON ADV VERB ADV PRON VERB INTJ VERB INTJ VERB ADJ NOUN VERB INTJ VERB VERB NOUN VERB,19,False
Uh my name is,E4,English,INTJ PRON NOUN AUX,4,False
Oh you can just call me,E6,English,INTJ PRON AUX ADV VERB PRON,6,False
I was born in uh Southern California In San San Gabriel uh Medical Hospital,E14,English,PRON AUX VERB ADP INTJ PROPN PROPN ADP PROPN PROPN PROPN INTJ PROPN PROPN,14,False
I was born in uh Southern California In San San Gabriel uh Medical Hospital,E14,English,PRON AUX VERB ADP INTJ PROPN PROPN ADP PROPN PROPN PROPN INTJ PROPN PROPN,14,False
Yes I'm a student at,E5,English,INTJ PRON AUX DET NOUN ADP,6,False
Um I'm an environmental science major,E6,English,INTJ PRON AUX DET ADJ NOUN NOUN,7,False
Um my family obviously um they originated in Southern China,E10,English,INTJ PRON NOUN ADV INTJ PRON VERB ADP PROPN PROPN,10,False
Um they came to California in the mid nineteen eighties,E10,English,INTJ PRON VERB ADP PROPN ADP DET ADJ NUM NOUN,10,False
But they had been to they had lived like a generation of my family had been born in Vietnam before that,E21,English,CCONJ PRON AUX AUX ADP PRON AUX VERB ADP DET NOUN ADP PRON NOUN AUX AUX VERB ADP PROPN ADP PRON,21,False
My parents were born in Vietnam,E6,English,PRON NOUN AUX VERB ADP PROPN,6,False
Uh San Gabriel Valley,E4,English,INTJ PROPN PROPN PROPN,4,False
Oh yeah They settled in Southern California,E7,English,INTJ INTJ PRON VERB ADP PROPN PROPN,7,False
Oh yeah They settled in Southern California,E7,English,INTJ INTJ PRON VERB ADP PROPN PROPN,7,False
Yes both of them were born in Saigon In Vietnam,E10,English,INTJ PRON ADP PRON AUX VERB ADP PROPN ADP PROPN,10,False
I I'm not entirely sure,E5,English,PRON PRON AUX PART ADV ADJ,6,False
Uh siblings,E2,English,INTJ NOUN,2,False
No I do not have siblings,E6,English,INTJ PRON AUX PART VERB NOUN,6,False
I was raised my whole life in uh the San Gabriel Valley Specifically uh Monterey Park,E16,English,PRON AUX VERB PRON ADJ NOUN ADP INTJ DET PROPN PROPN PROPN ADV INTJ PROPN PROPN,16,False
I was raised my whole life in uh the San Gabriel Valley Specifically uh Monterey Park,E16,English,PRON AUX VERB PRON ADJ NOUN ADP INTJ DET PROPN PROPN PROPN ADV INTJ PROPN PROPN,16,False
Oh um when I was born actually I believe I lived in Temple City But that was only for a couple years before I moved into Monterey Park and I basically lived there my whole life since then,E38,English,INTJ INTJ SCONJ PRON AUX VERB ADV PRON VERB PRON VERB ADP PROPN PROPN CCONJ PRON AUX ADV ADP DET NOUN NOUN SCONJ PRON VERB ADP PROPN PROPN CCONJ PRON ADV VERB ADV PRON ADJ NOUN SCONJ ADV,38,False
Oh um when I was born actually I believe I lived in Temple City But that was only for a couple years before I moved into Monterey Park and I basically lived there my whole life since then,E38,English,INTJ INTJ SCONJ PRON AUX VERB ADV PRON VERB PRON VERB ADP PROPN PROPN CCONJ PRON AUX ADV ADP DET NOUN NOUN SCONJ PRON VERB ADP PROPN PROPN CCONJ PRON ADV VERB ADV PRON ADJ NOUN SCONJ ADV,38,False
Oh um sorry Yeah um recently I moved uh for the academic school year um for the foreseeable future I will living in the dorms,E25,English,INTJ INTJ INTJ INTJ INTJ ADV PRON VERB INTJ ADP DET ADJ NOUN NOUN INTJ ADP DET ADJ NOUN PRON AUX VERB ADP DET NOUN,25,False
Oh um sorry Yeah um recently I moved uh for the academic school year um for the foreseeable future I will living in the dorms But yeah,E27,English,INTJ INTJ INTJ INTJ INTJ ADV PRON VERB INTJ ADP DET ADJ NOUN NOUN INTJ ADP DET ADJ NOUN PRON AUX VERB ADP DET NOUN CCONJ INTJ,27,False
Yeah um recently I moved uh for the academic school year um for the foreseeable future I will living in the dorms But yeah,E24,English,INTJ INTJ ADV PRON VERB INTJ ADP DET ADJ NOUN NOUN INTJ ADP DET ADJ NOUN PRON AUX VERB ADP DET NOUN CCONJ INTJ,24,False
Elementary school um often were in the same area in Monterey Park or Alhambra,E14,English,ADJ NOUN INTJ ADV AUX ADP DET ADJ NOUN ADP PROPN PROPN CCONJ PROPN,14,False
Um elementary was a place called Ynez Elementary high school was a place called Mark Keppel High School,E18,English,INTJ PROPN AUX DET NOUN VERB PROPN PROPN ADJ NOUN AUX DET NOUN VERB PROPN PROPN PROPN PROPN,18,False
Did you ask about was that did you ask something at the end,E13,English,AUX PRON VERB ADP AUX PRON AUX PRON VERB PRON ADP DET NOUN,13,False
Okay cool,E2,English,INTJ ADJ,2,False
Public school in the area,E5,English,ADJ NOUN ADP DET NOUN,5,False
No I haven't,E3,English,INTJ PRON VERB PART,4,False
No No I I haven't haven't,E6,English,INTJ INTJ PRON PRON AUX PART VERB PART,8,False
Uh no,E2,English,INTJ INTJ,2,False
Uh no,E2,English,INTJ INTJ,2,False
Oh like um who's in my immediate family,E8,English,INTJ INTJ INTJ PRON AUX ADP PRON ADJ NOUN,9,False
Oh oh Um no we're not religious,E7,English,INTJ INTJ INTJ INTJ PRON AUX PART ADJ,8,False
Oh oh Um no we're not religious,E7,English,INTJ INTJ INTJ INTJ PRON AUX PART ADJ,8,False
No I definitely was not,E5,English,INTJ PRON ADV AUX PART,5,False
I definitely think of myself more as Chinese American,E9,English,PRON ADV VERB ADP PRON ADV ADP ADJ PROPN,9,False
I no not as Vietnamese,E5,English,PRON INTJ PART ADP PROPN,5,False
Uh is that like,E4,English,INTJ AUX PRON INTJ,4,False
Oh like emphasis,E3,English,INTJ ADP NOUN,3,False
Oh I believe that it's it's definitely a mix Chinese American,E11,English,INTJ PRON VERB SCONJ PRON AUX PRON AUX ADV DET NOUN ADJ PROPN,13,False
Oh I believe that it's it's definitely a mix Chinese American,E11,English,INTJ PRON VERB SCONJ PRON AUX PRON AUX ADV DET NOUN ADJ PROPN,13,False
I think both of them are essentially equally important,E9,English,PRON VERB PRON ADP PRON AUX ADV ADV ADJ,9,False
Oh sure,E2,English,INTJ ADV,2,False
Because in a sense um it's harder to think of myself as one or the other because I wouldn't be able to entirely integrate into Chinese culture Like if I went back to you know Guangzhou or anything like that,E40,English,SCONJ ADP DET NOUN INTJ PRON AUX ADJ PART VERB ADP PRON ADP NUM CCONJ DET ADJ SCONJ PRON AUX PART AUX ADJ PART ADV VERB ADP ADJ NOUN SCONJ SCONJ PRON VERB ADV ADP PRON VERB PROPN CCONJ PRON ADP PRON,42,False
Because in a sense um it's harder to think of myself as one or the other because I wouldn't be able to entirely integrate into Chinese culture Like if I went back to you know Guangzhou or anything like that I definitely would not be able to integrate,E48,English,SCONJ ADP DET NOUN INTJ PRON AUX ADJ PART VERB ADP PRON ADP NUM CCONJ DET ADJ SCONJ PRON AUX PART AUX ADJ PART ADV VERB ADP ADJ NOUN SCONJ SCONJ PRON VERB ADV ADP PRON VERB PROPN CCONJ PRON ADP PRON PRON ADV AUX PART AUX ADJ PART VERB,50,False
Like if I went back to you know Guangzhou or anything like that I definitely would not be able to integrate,E21,English,INTJ SCONJ PRON VERB ADV ADP PRON VERB PROPN CCONJ PRON ADP PRON PRON ADV AUX PART AUX ADJ PART VERB,21,False
And here in the United States um even though I would consider myself to lean more towards American tendencies I definitely would not be seen as a stereotypical American,E29,English,CCONJ ADV ADP DET PROPN PROPN INTJ ADV SCONJ PRON AUX VERB PRON PART VERB ADJ ADP ADJ NOUN PRON ADV AUX PART AUX VERB ADP DET ADJ PROPN,29,False
Because of my Chinese heritage if that makes sense,E9,English,SCONJ ADP PRON ADJ NOUN SCONJ PRON VERB NOUN,9,False
Uh yes,E2,English,INTJ INTJ,2,False
Wait other gr groups of like,E6,English,VERB ADJ NOUN NOUN ADP INTJ,6,False
Oh yeah Definitely,E3,English,INTJ INTJ ADV,3,False
Oh yeah Definitely,E3,English,INTJ INTJ ADV,3,False
My friend circle uh it's yeah a majority definitely a majority Asian I would say maybe up to like eighty or ninety percent honestly,E24,English,PRON NOUN NOUN INTJ PRON AUX INTJ DET NOUN ADV DET NOUN PROPN PRON AUX VERB ADV ADV PART INTJ NUM CCONJ NUM NOUN ADV,25,False
Chinese or Chinese,E3,English,ADJ CCONJ ADJ,3,False
Like they consider themselves to be Chinese or just have the heritage,E12,English,ADP PRON VERB PRON PART AUX ADJ CCONJ ADV VERB DET NOUN,12,False
I'd say out of that maybe seventy eighty percent have some they can trace their lineage uh back that way,E20,English,PRON AUX VERB ADP ADP DET ADV NUM NUM NOUN VERB PRON PRON AUX VERB PRON NOUN INTJ ADV DET NOUN,21,False
I would say they're um you know Japanese K or Korean people who can't trace themselves back to Chinese,E19,English,PRON AUX VERB PRON AUX INTJ PRON VERB ADJ NOUN CCONJ ADJ NOUN PRON AUX PART VERB PRON ADV ADP PROPN,21,False
Oh oh sorry Um oh my bad,E7,English,INTJ INTJ INTJ INTJ INTJ PRON ADJ,7,False
Oh oh sorry Um oh my bad,E7,English,INTJ INTJ INTJ INTJ INTJ PRON ADJ,7,False
Um that was uh I'd say it is definitely a lot of people who consider themselves to be Hispanic a lot of White p or not a lot but a few White people uh Black people um some Native American I would say,E43,English,INTJ PRON AUX INTJ PRON AUX VERB PRON AUX ADV DET NOUN ADP NOUN PRON VERB PRON PART AUX ADJ DET NOUN ADP PROPN PROPN CCONJ PART DET NOUN CCONJ DET ADJ ADJ NOUN INTJ ADJ NOUN INTJ DET ADJ PROPN PRON AUX VERB,44,False
Um I mostly remember Monterey Park obviously Um and it's it's definitely like sixty to seventy percent Asian American,E19,English,INTJ PRON ADV VERB PROPN PROPN ADV INTJ CCONJ PRON AUX PRON AUX ADV INTJ NUM PART NUM NOUN PROPN PROPN,21,False
Um I mostly remember Monterey Park obviously Um and it's it's definitely like sixty to seventy percent Asian American So I was growing up I was surrounded by that common like first generation second generation immigrants mindset,E37,English,INTJ PRON ADV VERB PROPN PROPN ADV INTJ CCONJ PRON AUX PRON AUX ADV INTJ NUM PART NUM NOUN ADJ PROPN ADV PRON AUX VERB ADP PRON AUX VERB ADP DET ADJ ADP ADJ NOUN ADJ NOUN NOUN NOUN,39,False
Um and it's it's definitely like sixty to seventy percent Asian American So I was growing up I was surrounded by that common like first generation second generation immigrants mindset Um there's also a good chunk of uh Hispanic people there as well um so yeah,E46,English,INTJ CCONJ PRON AUX PRON AUX ADV INTJ NUM PART NUM NOUN ADJ PROPN ADV PRON AUX VERB ADP PRON AUX VERB ADP DET ADJ ADP ADJ NOUN ADJ NOUN NOUN NOUN INTJ PRON VERB ADV DET ADJ NOUN ADP INTJ ADJ NOUN ADV ADV INTJ INTJ ADV INTJ,49,False
So I was growing up I was surrounded by that common like first generation second generation immigrants mindset Um there's also a good chunk of uh Hispanic people there as well um so yeah So there wasn't like a huge amount of diversity where I grew up but a little bit,E51,English,ADV PRON AUX VERB ADP PRON AUX VERB ADP DET ADJ ADP ADJ NOUN ADJ NOUN NOUN NOUN INTJ PRON VERB ADV DET ADJ NOUN ADP INTJ ADJ NOUN ADV ADV INTJ INTJ ADV INTJ ADV PRON VERB PART ADP DET ADJ NOUN ADP NOUN SCONJ PRON VERB ADP CCONJ DET ADJ NOUN,53,False
Um there's also a good chunk of uh Hispanic people there as well um so yeah So there wasn't like a huge amount of diversity where I grew up but a little bit,E33,English,INTJ PRON VERB ADV DET ADJ NOUN ADP INTJ ADJ NOUN ADV ADV INTJ INTJ ADV INTJ ADV PRON VERB PART ADP DET ADJ NOUN ADP NOUN SCONJ PRON VERB ADP CCONJ DET ADJ NOUN,35,False
Studying together with now,E4,English,VERB ADV ADP ADV,4,False
Uh it's definitely a little bit or not a little bit definitely more broad,E14,English,INTJ PRON AUX ADV DET ADJ NOUN CCONJ PART DET ADJ NOUN ADV ADV ADJ,15,False
Uh obviously there are a lot of Asian and Hispanic people in but um there are definitely a lot of different ethnicities and races that I haven't that I you wouldn't see much of back from where I'm from like you know South Asian a lot of White people Black people or just everything that was missing from my hometown,E60,English,INTJ ADV PRON VERB DET NOUN ADP ADJ CCONJ ADJ NOUN ADP CCONJ INTJ PRON VERB ADV DET NOUN ADP ADJ NOUN CCONJ NOUN PRON PRON VERB PART SCONJ PRON PRON AUX PART VERB ADJ ADP ADV ADP SCONJ PRON AUX ADP INTJ PRON VERB ADJ PROPN DET NOUN ADP ADJ NOUN ADJ NOUN CCONJ ADV PRON PRON AUX VERB ADP PRON NOUN,63,False
I think it's being able to trace your own being able to trace your own heritage to the culture of it and um being able to understand important aspects of that culture,E32,English,PRON VERB PRON AUX AUX ADJ PART VERB PRON ADJ AUX ADJ PART VERB PRON ADJ NOUN ADP DET NOUN ADP PRON CCONJ INTJ AUX ADJ PART VERB ADJ NOUN ADP DET NOUN,33,False
Oh yeah s,E3,English,INTJ INTJ VERB,3,False
Important aspects so that would be just um some examples could be as simple as you know dining Um like just little things you do in a daily routine like like in like in meals or the furniture that you have the way your home is set up,E48,English,ADJ NOUN SCONJ PRON AUX AUX ADV INTJ DET NOUN AUX AUX ADV ADJ SCONJ PRON VERB VERB INTJ INTJ ADV ADJ NOUN PRON VERB ADP DET ADJ NOUN INTJ INTJ ADV INTJ ADP NOUN CCONJ DET NOUN PRON PRON VERB DET NOUN PRON NOUN AUX VERB ADP,48,False
Important aspects so that would be just um some examples could be as simple as you know dining Um like just little things you do in a daily routine like like in like in meals or the furniture that you have the way your home is set up And um I think part of it is also you know being able to speak the language to some extent,E68,English,ADJ NOUN SCONJ PRON AUX AUX ADV INTJ DET NOUN AUX AUX ADV ADJ SCONJ PRON VERB VERB INTJ INTJ ADV ADJ NOUN PRON VERB ADP DET ADJ NOUN INTJ INTJ ADV INTJ ADP NOUN CCONJ DET NOUN PRON PRON VERB DET NOUN PRON NOUN AUX VERB ADP CCONJ INTJ PRON VERB NOUN ADP PRON AUX ADV PRON VERB AUX ADJ PART VERB DET NOUN ADP DET NOUN,68,False
Um like just little things you do in a daily routine like like in like in meals or the furniture that you have the way your home is set up And um I think part of it is also you know being able to speak the language to some extent,E50,English,INTJ INTJ ADV ADJ NOUN PRON VERB ADP DET ADJ NOUN INTJ INTJ ADV INTJ ADP NOUN CCONJ DET NOUN PRON PRON VERB DET NOUN PRON NOUN AUX VERB ADP CCONJ INTJ PRON VERB NOUN ADP PRON AUX ADV PRON VERB AUX ADJ PART VERB DET NOUN ADP DET NOUN,50,False
I believe some of it also um,E7,English,PRON VERB PRON ADP PRON ADV INTJ,7,False
Oh also of course like festivities um knowing the history of Chinese people is obviously um pretty big about that or a pretty big aspect,E25,English,INTJ ADV ADP NOUN ADP NOUN INTJ VERB DET NOUN ADP ADJ NOUN AUX ADV INTJ ADV ADJ ADP PRON CCONJ DET ADV ADJ NOUN,25,False
But um yeah there's definitely a lot more nuance to it,E11,English,CCONJ INTJ INTJ PRON VERB ADV DET NOUN ADJ NOUN ADP PRON,12,False
That's a good question Um I guess it's uh okay I might be a little biased here but,E18,English,PRON AUX DET ADJ NOUN INTJ PRON VERB PRON AUX INTJ INTJ PRON AUX AUX DET ADJ ADJ ADV CCONJ,20,False
That's a good question Um I guess it's uh okay I might be a little biased here but,E18,English,PRON AUX DET ADJ NOUN INTJ PRON VERB PRON AUX INTJ INTJ PRON AUX AUX DET ADJ ADJ ADV CCONJ,20,False
I believe um any dialect that's um that would be spoken by average or that could be spoken by um some subgroup of Chinese people Obviously um Mandarin is like a pretty uh big language but like speaking Cantonese or uh some other smaller dialect like Teochow I think that would also qualify,E53,English,PRON VERB INTJ DET NOUN PRON AUX INTJ PRON AUX AUX VERB ADP ADJ CCONJ PRON AUX AUX VERB ADP INTJ DET NOUN ADP ADJ NOUN ADV INTJ PROPN AUX ADP DET ADV INTJ ADJ NOUN CCONJ ADP VERB PROPN CCONJ INTJ DET ADJ ADJ NOUN ADP PROPN PRON VERB PRON AUX ADV VERB,54,False
I believe um any dialect that's um that would be spoken by average or that could be spoken by um some subgroup of Chinese people Obviously um Mandarin is like a pretty uh big language but like speaking Cantonese or uh some other smaller dialect like Teochow I think that would also qualify,E53,English,PRON VERB INTJ DET NOUN PRON AUX INTJ PRON AUX AUX VERB ADP ADJ CCONJ PRON AUX AUX VERB ADP INTJ DET NOUN ADP ADJ NOUN ADV INTJ PROPN AUX ADP DET ADV INTJ ADJ NOUN CCONJ ADP VERB PROPN CCONJ INTJ DET ADJ ADJ NOUN ADP PROPN PRON VERB PRON AUX ADV VERB,54,False
A true American,E3,English,DET ADJ ADJ,3,False
Okay it's a little harder to say because I feel like there isn't as strong of a cultural identity,E19,English,INTJ PRON AUX DET ADV ADJ PART VERB SCONJ PRON VERB SCONJ PRON VERB PART ADV ADJ ADP DET ADJ NOUN,21,False
At At this this point point it's whether it's or whether not or they what not would they make what someone a would true make American is someone just a simply true whether or American not is they're just able to simply find whether some or sort of not a they're stable life able in to the find United States some I sort would of feel I a would stable definitely define life it in much the more loosely United than States simply I being or would being feel Chinese I would definitely define it much more loosely than simply being tha or than being Chinese,E106,English,ADP ADP PRON DET NOUN NOUN PRON AUX SCONJ PRON AUX CCONJ SCONJ PART CCONJ PRON PRON PART AUX PRON VERB PRON PRON PRON AUX ADJ VERB PROPN AUX PRON ADV DET ADV ADJ SCONJ CCONJ PROPN PART AUX PRON AUX ADV ADJ PART ADV VERB SCONJ PRON CCONJ ADV ADV PART PRON PRON AUX ADJ NOUN ADJ ADP ADP DET NOUN PROPN PROPN PRON PRON VERB AUX SCONJ VERB PRON DET AUX NOUN ADV VERB NOUN PRON ADP ADV PRON ADV ADV PROPN SCONJ PROPN ADV PRON AUX CCONJ AUX AUX VERB ADJ PRON AUX ADV VERB PRON ADV ADV ADV ADP ADV AUX NOUN CCONJ ADP AUX ADJ,110,False
At At this this point point it's whether it's or whether not or they what not would they make what someone a would true make American is someone just a simply true whether or American not is they're just able to simply find whether some or sort of not a they're stable life able in to the find United States some I sort would of feel I a would stable definitely define life it in much the more loosely United than States simply I being or would being feel Chinese I would definitely define it much more loosely than simply being tha or than being Chinese,E106,English,ADP ADP PRON DET NOUN NOUN PRON AUX SCONJ PRON AUX CCONJ SCONJ PART CCONJ PRON PRON PART AUX PRON VERB PRON PRON PRON AUX ADJ VERB PROPN AUX PRON ADV DET ADV ADJ SCONJ CCONJ PROPN PART AUX PRON AUX ADV ADJ PART ADV VERB SCONJ PRON CCONJ ADV ADV PART PRON PRON AUX ADJ NOUN ADJ ADP ADP DET NOUN PROPN PROPN PRON PRON VERB AUX SCONJ VERB PRON DET AUX NOUN ADV VERB NOUN PRON ADP ADV PRON ADV ADV PROPN SCONJ PROPN ADV PRON AUX CCONJ AUX AUX VERB ADJ PRON AUX ADV VERB PRON ADV ADV ADV ADP ADV AUX NOUN CCONJ ADP AUX ADJ,110,False
I believe well that's not an entirely precise way to put it,E12,English,PRON VERB INTJ PRON AUX PART DET ADV ADJ NOUN PART VERB PRON,13,False
I guess just having I would say an American is someone who is able to you know live their day to day life in the United States like whether you have work here even um you might live here for at least periods of time because not everyone here is an American lives here forever And there is just some basic understanding of the wider spread culture here,E68,English,PRON VERB ADV VERB PRON AUX VERB DET PROPN AUX PRON PRON AUX ADJ PART PRON VERB VERB PRON NOUN ADP NOUN NOUN ADP DET PROPN PROPN ADP SCONJ PRON AUX NOUN ADV ADV INTJ PRON AUX VERB ADV ADP ADP ADJ NOUN ADP NOUN SCONJ PART PRON ADV AUX DET ADJ NOUN ADV ADV CCONJ PRON VERB ADV DET ADJ NOUN ADP DET ADJ ADJ NOUN ADV,68,False
I guess just having I would say an American is someone who is able to you know live their day to day life in the United States like whether you have work here even um you might live here for at least periods of time because not everyone here is an American lives here forever And there is just some basic understanding of the wider spread culture here But I don't believe it's a very strong connect culture if that makes sense,E82,English,PRON VERB ADV VERB PRON AUX VERB DET PROPN AUX PRON PRON AUX ADJ PART PRON VERB VERB PRON NOUN ADP NOUN NOUN ADP DET PROPN PROPN ADP SCONJ PRON AUX NOUN ADV ADV INTJ PRON AUX VERB ADV ADP ADP ADJ NOUN ADP NOUN SCONJ PART PRON ADV AUX DET ADJ NOUN ADV ADV CCONJ PRON VERB ADV DET ADJ NOUN ADP DET ADJ ADJ NOUN ADV CCONJ PRON AUX PART VERB PRON AUX DET ADV ADJ ADJ NOUN SCONJ PRON VERB NOUN,84,False
And there is just some basic understanding of the wider spread culture here But I don't believe it's a very strong connect culture if that makes sense,E27,English,CCONJ PRON VERB ADV DET ADJ NOUN ADP DET ADJ ADJ NOUN ADV CCONJ PRON AUX PART VERB PRON AUX DET ADV ADJ ADJ NOUN SCONJ PRON VERB NOUN,29,False
Oh um ABC with both Chinese parents did you say,E10,English,INTJ INTJ PROPN ADP DET ADJ NOUN AUX PRON VERB,10,False
Um I would consi um this sort of goes back to my own identity I would definitely consider it to be sort of like a new identity in a way because like I said um you can't entirely be Chinese you can't entirely be American so you're just this awkward in between where you sort of stand out no matter uh where you go unless you are in a group with people who are in a similar position,E78,English,INTJ PRON AUX VERB INTJ DET NOUN ADV VERB ADV ADP PRON ADJ NOUN PRON AUX ADV VERB PRON PART AUX ADV ADV ADP DET ADJ NOUN ADP DET NOUN SCONJ INTJ PRON VERB INTJ PRON AUX PART ADV AUX ADJ PRON AUX PART ADV AUX ADJ ADV PRON AUX ADV DET ADJ ADP ADP SCONJ PRON ADV ADV VERB ADP ADV NOUN INTJ SCONJ PRON VERB SCONJ PRON AUX ADP DET NOUN ADP NOUN PRON AUX ADP DET ADJ NOUN,81,False
Um I would consi um this sort of goes back to my own identity I would definitely consider it to be sort of like a new identity in a way because like I said um you can't entirely be Chinese you can't entirely be American so you're just this awkward in between where you sort of stand out no matter uh where you go unless you are in a group with people who are in a similar position That is that Chinese American in between,E85,English,INTJ PRON AUX VERB INTJ DET NOUN ADV VERB ADV ADP PRON ADJ NOUN PRON AUX ADV VERB PRON PART AUX ADV ADV ADP DET ADJ NOUN ADP DET NOUN SCONJ INTJ PRON VERB INTJ PRON AUX PART ADV AUX ADJ PRON AUX PART ADV AUX ADJ ADV PRON AUX ADV DET ADJ ADP ADP SCONJ PRON ADV ADV VERB ADP ADV NOUN INTJ SCONJ PRON VERB SCONJ PRON AUX ADP DET NOUN ADP NOUN PRON AUX ADP DET ADJ NOUN PRON AUX SCONJ ADJ PROPN ADP ADP,88,False
