original,cleaned,annotation_text_before,annotation_text_after
have my-- my g,have my my g,"Because um that's their main-- I believe a lot of communication, so I would much rather have my-- my grandchildren or my-- my kids be able to.. um communicate with their grandparents if possible.",Because um that's their main I believe a lot of communication so I would much rather have my my grandchildren or my my kids be able to um communicate with their grandparents if possible
n or my-- my k,n or my my k,"Because um that's their main-- I believe a lot of communication, so I would much rather have my-- my grandchildren or my-- my kids be able to.. um communicate with their grandparents if possible.",Because um that's their main I believe a lot of communication so I would much rather have my my grandchildren or my my kids be able to um communicate with their grandparents if possible
 lot of::-- Cant,lot of Cant,Well I wouldn't say prerequisite because.. a lot of::-- Cantonese is almost like a dying language and most people are using Mandarin nowadays.,Well I wouldn't say prerequisite because a lot of Cantonese is almost like a dying language and most people are using Mandarin nowadays
So--,So,So--,So
I-- I-- I-- I,I I I I,I-- I-- I-- I forgot it. ,I I I I forgot it
I-- I-- I-- I,I I I I,I-- I-- I-- I forgot it. ,I I I I forgot it
 I-- I-- I fo,I I I fo,I-- I-- I-- I forgot it. ,I I I I forgot it
d to them-- for ,d to them for,"Well how I'd look at it is that that the person may look like it, but if they are more in tune with the culture, because I really believe in communication, so if they don't know how to speak the language then it's hard to them-- for them to learn more of the culture, I would say, more in depth.",Well how I'd look at it is that that the person may look like it but if they are more in tune with the culture because I really believe in communication so if they don't know how to speak the language then it's hard to them for them to learn more of the culture I would say more in depth
" um, that's-- beca",um that's beca,"Um I mean the language part because that's what I.. used growing up um, that's-- because for my parents as a refugee coming here that's all they knew.",Um I mean the language part because that's what I used growing up um that's because for my parents as a refugee coming here that's all they knew
"-- uh, ",uh,"-- uh, ",uh
", or actually-- yeah",or actually yeah,"Uh:: , yeah when I was in school, or actually-- yeah when I go more into the rural area, um uh I used to be:: in New Hampshire as well.",Uh yeah when I was in school or actually yeah when I go more into the rural area um uh I used to be in New Hampshire as well
 ... I::-- yeah,I yeah,"Um:: ... I::-- yeah I would say slangs a-- and probably a little bit of the accent too I would say, 'cause I-- I hear differently if they're from China I feel.",Um I yeah I would say slangs a and probably a little bit of the accent too I would say cause I I hear differently if they're from China I feel
angs a-- and ,angs a and,"Um:: ... I::-- yeah I would say slangs a-- and probably a little bit of the accent too I would say, 'cause I-- I hear differently if they're from China I feel.",Um I yeah I would say slangs a and probably a little bit of the accent too I would say cause I I hear differently if they're from China I feel
ause I-- I he,ause I I he,"Um:: ... I::-- yeah I would say slangs a-- and probably a little bit of the accent too I would say, 'cause I-- I hear differently if they're from China I feel.",Um I yeah I would say slangs a and probably a little bit of the accent too I would say cause I I hear differently if they're from China I feel
mean I-- I kn,mean I I kn,"I mean I-- I know I'm born and raised here, but I don't really have that really thick Boston accent like.. I hear a lot growing up here, so.",I mean I I know I'm born and raised here but I don't really have that really thick Boston accent like I hear a lot growing up here so
h so I-- so t,h so I so t,"So, um:: and:: ... majority of the time and through my relative as well, that's the same barrier that they go through so I-- so that was the.. main thing why I learned it to begin with, um to-- to hone my language and just keep the tradition alive.",So um and majority of the time and through my relative as well that's the same barrier that they go through so I so that was the main thing why I learned it to begin with um to to hone my language and just keep the tradition alive
", um to-- to h",um to to h,"So, um:: and:: ... majority of the time and through my relative as well, that's the same barrier that they go through so I-- so that was the.. main thing why I learned it to begin with, um to-- to hone my language and just keep the tradition alive.",So um and majority of the time and through my relative as well that's the same barrier that they go through so I so that was the main thing why I learned it to begin with um to to hone my language and just keep the tradition alive
-- um ,um,-- um ,um
ends how-- (uh),ends how uh,"Um:: yeah, uh depends how-- (uh) the dialect in English like you were mentioning because:: sometimes.. um if they're:: .. well I believe the English in-- in-- in China is-- or Hong Kong, is learned differently from American English, so I think there could be a little bit of accent?",Um yeah uh depends how uh the dialect in English like you were mentioning because sometimes um if they're well I believe the English in in in China is or Hong Kong is learned differently from American English so I think there could be a little bit of accent
lish in-- in--,lish in in,"Um:: yeah, uh depends how-- (uh) the dialect in English like you were mentioning because:: sometimes.. um if they're:: .. well I believe the English in-- in-- in China is-- or Hong Kong, is learned differently from American English, so I think there could be a little bit of accent?",Um yeah uh depends how uh the dialect in English like you were mentioning because sometimes um if they're well I believe the English in in in China is or Hong Kong is learned differently from American English so I think there could be a little bit of accent
in-- in-- in C,in in in C,"Um:: yeah, uh depends how-- (uh) the dialect in English like you were mentioning because:: sometimes.. um if they're:: .. well I believe the English in-- in-- in China is-- or Hong Kong, is learned differently from American English, so I think there could be a little bit of accent?",Um yeah uh depends how uh the dialect in English like you were mentioning because sometimes um if they're well I believe the English in in in China is or Hong Kong is learned differently from American English so I think there could be a little bit of accent
hina is-- or H,hina is or H,"Um:: yeah, uh depends how-- (uh) the dialect in English like you were mentioning because:: sometimes.. um if they're:: .. well I believe the English in-- in-- in China is-- or Hong Kong, is learned differently from American English, so I think there could be a little bit of accent?",Um yeah uh depends how uh the dialect in English like you were mentioning because sometimes um if they're well I believe the English in in in China is or Hong Kong is learned differently from American English so I think there could be a little bit of accent
-- ah ,ah,-- ah ,ah
 .. ah-- ,ah, .. ah-- ,ah
(x)-- ah:: ,ah,(x)-- ah:: ,ah
 Chinese-American ,Chinese American, Chinese-American ,Chinese American
-- ah ,ah,-- ah ,ah
-- uh ,uh,-- uh ,uh
-- uh:: ,uh,-- uh:: ,uh
" Chinese-American, ",Chinese American," Chinese-American, ",Chinese American
"-- ah,",ah,"-- ah,",ah
 ah::-- ,ah, ah::-- ,ah
 code-switch.,code switch, code-switch.,code switch
 Wi-Fi ,Wi Fi, Wi-Fi ,Wi Fi
 eh-- ,eh, eh-- ,eh
 code-switch ,code switch, code-switch ,code switch
 uh-- ,uh, uh-- ,uh
-- ... ah ,ah,-- ... ah ,ah
 eh code-switch ,eh code switch, eh code-switch ,eh code switch
" Italian-American, ",Italian American," Italian-American, ",Italian American
 New York-- ,New York, New York-- ,New York
 sum-- ,sum, sum-- ,sum
"-- ah, ",ah,"-- ah, ",ah
 ah-- ,ah, ah-- ,ah
 code-switch.. (,code switch, code-switch.. (,code switch
-- ah-- ,ah,-- ah-- ,ah
-- ah-- ,ah,-- ah-- ,ah
 Chinese-American ,Chinese American, Chinese-American ,Chinese American
-- ah-- ,ah,-- ah-- ,ah
-- ah-- ,ah,-- ah-- ,ah
 code-switching ,code switching, code-switching ,code switching
 uh-- ,uh, uh-- ,uh
-- uh:: ,uh,-- uh:: ,uh
 code-switch.,code switch, code-switch.,code switch
" Chinese-American, ",Chinese American," Chinese-American, ",Chinese American
 Chinese-American ,Chinese American, Chinese-American ,Chinese American
 eh-- ... ,eh, eh-- ... ,eh
 code-switch.,code switch, code-switch.,code switch
 code-switch.,code switch, code-switch.,code switch
 ah::-- ,ah, ah::-- ,ah
 (ah)-- ,ah, (ah)-- ,ah
 code-switch ,code switch, code-switch ,code switch
 ah-- ,ah, ah-- ,ah
-- uh:: ,uh,-- uh:: ,uh
" code-switch, .. ",code switch," code-switch, .. ",code switch
-- ah ,ah,-- ah ,ah
 ah-- ah-- ,ah ah, ah-- ah-- ,ah ah
 ah-- ah-- ,ah ah, ah-- ah-- ,ah ah
friend-- ,friend,friend-- ,friend
 code-switch ,code switch, code-switch ,code switch
 code-switch ,code switch, code-switch ,code switch
"ith, even-- actu",ith even actu,"At school, with friends, with, even-- actually with my cousins of the same generation as me, I'll speak um, English with them.",At school with friends with even actually with my cousins of the same generation as me I'll speak um English with them
-- uh ,uh,-- uh ,uh
I-- I'm not e,I I'm not e,I-- I'm not entirely sure.,I I'm not entirely sure
-- uh ,uh,-- uh ,uh
. is that like--,is that like,"Uh, ... is that like--",Uh is that like
"ould consi-- um, ",ould consi um,"Um, I would consi-- um, this sort of goes back to my own identity.",Um I would consi um this sort of goes back to my own identity
 uh sorry-- ,uh sorry, uh sorry-- ,uh sorry
"I believe-- well, t",I believe well t,"I believe-- well, that's not an entirely precise way to put it.",I believe well that's not an entirely precise way to put it
like in-- like,like in like,"Um:: .. like just little things you do in a daily routine, like, like in-- like in meals, or:: ... the furniture that you have, the way your home is set up.",Um like just little things you do in a daily routine like like in like in meals or the furniture that you have the way your home is set up
"ese, K-- or K",ese K or K,"I would say they're um:: you know Japanese, K-- or Korean people who can't trace themselves back to Chinese,",I would say they're um you know Japanese K or Korean people who can't trace themselves back to Chinese
-- uh ,uh,-- uh ,uh
 uh::-- ,uh, uh::-- ,uh
.. I haven't-- that,I haven't that,"Uh obviously there are a lot of Asian and Hispanic people, in.. xxxx? , but, um there are definitely a lot of different ethnicities and races that.. I haven't-- that-- I-- you wouldn't see much of back from where I'm from, like, you know South Asian, a lot of White people, Black people, or.. just.. everything that was missing from my hometown.",Uh obviously there are a lot of Asian and Hispanic people in but um there are definitely a lot of different ethnicities and races that I haven't that I you wouldn't see much of back from where I'm from like you know South Asian a lot of White people Black people or just everything that was missing from my hometown
't-- that-- I-- ,t that I,"Uh obviously there are a lot of Asian and Hispanic people, in.. xxxx? , but, um there are definitely a lot of different ethnicities and races that.. I haven't-- that-- I-- you wouldn't see much of back from where I'm from, like, you know South Asian, a lot of White people, Black people, or.. just.. everything that was missing from my hometown.",Uh obviously there are a lot of Asian and Hispanic people in but um there are definitely a lot of different ethnicities and races that I haven't that I you wouldn't see much of back from where I'm from like you know South Asian a lot of White people Black people or just everything that was missing from my hometown
at-- I-- you ,at I you,"Uh obviously there are a lot of Asian and Hispanic people, in.. xxxx? , but, um there are definitely a lot of different ethnicities and races that.. I haven't-- that-- I-- you wouldn't see much of back from where I'm from, like, you know South Asian, a lot of White people, Black people, or.. just.. everything that was missing from my hometown.",Uh obviously there are a lot of Asian and Hispanic people in but um there are definitely a lot of different ethnicities and races that I haven't that I you wouldn't see much of back from where I'm from like you know South Asian a lot of White people Black people or just everything that was missing from my hometown
On-- once a ye,On once a ye,"On-- once a year maybe, but yeah.",On once a year maybe but yeah
"hite p--  or,",hite p or,"Um that was, uh:: I'd say, it is definitely.. a lot of people who consider themselves to be Hispanic, a lot of White p--  or, not a lot, but a few White people, uh Black people, um:: some Native American, I would say?",Um that was uh I'd say it is definitely a lot of people who consider themselves to be Hispanic a lot of White p or not a lot but a few White people uh Black people um some Native American I would say
have some-- they,have some they,"I'd say:: , out of that maybe:: seventy, eighty percent have some-- they can trace their lineage uh, back that way.  ",I'd say out of that maybe seventy eighty percent have some they can trace their lineage uh back that way
. the mid nineteen-eighties?,the mid nineteen eighties,"Um, they came to.. California in... the mid nineteen-eighties?",Um they came to California in the mid nineteen eighties
just having-- ... ,just having,"I guess just having-- ... I would say an American is someone who:: ... is able to:: you know live their.. day to day life in the United States, like, whether you have work here, even, um, you might live here for.. at least periods of time because not everyone here is an American lives here forever.",I guess just having I would say an American is someone who is able to you know live their day to day life in the United States like whether you have work here even um you might live here for at least periods of time because not everyone here is an American lives here forever
"ike, um-- wait",ike um wait," is.. like, um-- wait ",is like um wait
"ish, I'm-- I'm ",ish I'm I'm,"In English, I'm-- I'm a little bit more expressive in English, partially because I know a little bit more.",In English I'm I'm a little bit more expressive in English partially because I know a little bit more
t... not-- just,t not just,"'Cause I relate it more to home, more to family, just... not-- just being in a bubble, sort of.",Cause I relate it more to home more to family just not just being in a bubble sort of
 um-- ,um, um-- ,um
"ersation, um--",ersation um," , like, but for using um Chinese in an English conversation, um--",like but for using um Chinese in an English conversation um
your own-- ... ,your own,"I think it's... being able to:: trace your own-- ... being able to trace your own heritage to.. the culture of it, and um, being able to.. understand important aspects of that culture.",I think it's being able to trace your own being able to trace your own heritage to the culture of it and um being able to understand important aspects of that culture
 not they-- what,not they what,"At this point it's whether or not they-- what would make someone a true American is.. just simply whether or not they're able to... find... some sort of a stable life in the United States, I would feel. I would definitely define it much more loosely than simply being, or being Chinese.",At this point it's whether or not they what would make someone a true American is just simply whether or not they're able to find some sort of a stable life in the United States I would feel I would definitely define it much more loosely than simply being or being Chinese
ways uh-- not ,ways uh not, always uh-- not in good taste.,always uh not in good taste
In San-- San Ga,In San San Ga,In San-- San Gabriel.. uh Medical Hospital.,In San San Gabriel uh Medical Hospital
-- uh (,uh,-- uh (,uh
's.. um-- that,s um that,I believe um:: any:: .. dialect that's.. um-- that would be spoken by average-- or that could be spoken by:: um:: some subgroup of Chinese people.,I believe um any dialect that's um that would be spoken by average or that could be spoken by um some subgroup of Chinese people
n by average-- or t,n by average or t,I believe um:: any:: .. dialect that's.. um-- that would be spoken by average-- or that could be spoken by:: um:: some subgroup of Chinese people.,I believe um any dialect that's um that would be spoken by average or that could be spoken by um some subgroup of Chinese people
 uh-- ,uh, uh-- ,uh
"-- oh, ",oh,"-- oh, ",oh
-- like you',like you,-- like you're not supposed to make fun of someone for speaking a language if it's not their first language.,like you're not supposed to make fun of someone for speaking a language if it's not their first language
hinese or Chinese--,hinese or Chinese,Chinese or Chinese--,Chinese or Chinese
So I was-- grow,So I was grow,"So I was-- growing up I was surrounded by.. that common like, first generation, second generation immigrants mindset?",So I was growing up I was surrounded by that common like first generation second generation immigrants mindset
"ncy, because-- okay",ncy because okay,"Uh only if I like, lack complete fluency, because-- okay, well I do lack complete fluency, but only as like fillers, like in case,, I don't know how to:: say certain things in Cantonese.",Uh only if I like lack complete fluency because okay well I do lack complete fluency but only as like fillers like in case I don't know how to say certain things in Cantonese
"I-- no, not a",I no not a,"I-- no, not as Vietnamese.",I no not as Vietnamese
that it's-- it's,that it's it's,"Oh, I believe that it's-- it's.. definitely a mix.",Oh I believe that it's it's definitely a mix
 ask about-- was ,ask about was,Did you ask about-- was that-- did you ask something at the end?,Did you ask about was that did you ask something at the end
 was that-- did ,was that did,Did you ask about-- was that-- did you ask something at the end?,Did you ask about was that did you ask something at the end
 not they-- what,not they what,"At this point it's whether or not they-- what would make someone a true American is.. just simply whether or not they're able to... find... some sort of a stable life in the United States, I would feel.",At this point it's whether or not they what would make someone a true American is just simply whether or not they're able to find some sort of a stable life in the United States I would feel
"s right, because-- ",s right because," uh, ... depends on who the spouse is right, because-- ",uh depends on who the spouse is right because
 um-- ,um, um-- ,um
been to::-- they,been to they,But they had been to::-- they had lived-- like a generation of my family had been born in Vietnam before that.,But they had been to they had lived like a generation of my family had been born in Vietnam before that
 had lived-- like,had lived like,But they had been to::-- they had lived-- like a generation of my family had been born in Vietnam before that.,But they had been to they had lived like a generation of my family had been born in Vietnam before that
ss.. it's-- uh o,ss it's uh o,"Um:: , I guess.. it's-- uh okay (I) might be a little biased here but..",Um I guess it's uh okay I might be a little biased here but
"h, I wouldn't-- I do",h I wouldn't I do,"But uh yeah, I wouldn't-- I don't think any less of it, I think it's-- I think it can be a good thing, yeah.",But uh yeah I wouldn't I don't think any less of it I think it's I think it can be a good thing yeah
hink it's-- I th,hink it's I th,"But uh yeah, I wouldn't-- I don't think any less of it, I think it's-- I think it can be a good thing, yeah.",But uh yeah I wouldn't I don't think any less of it I think it's I think it can be a good thing yeah
like um::-- oh f,like um oh f,"Oh, like um::-- oh for::-- for:: English in a Chinese conversation, or Chinese in English conversation?",Oh like um oh for for English in a Chinese conversation or Chinese in English conversation
- oh for::-- for:,oh for for,"Oh, like um::-- oh for::-- for:: English in a Chinese conversation, or Chinese in English conversation?",Oh like um oh for for English in a Chinese conversation or Chinese in English conversation
"ear, um-- for ",ear um for,"Yeah, um:: recently I moved, uh for:: the academic school year, um-- for the foreseeable future, I will living in the xxxx dorms.",Yeah um recently I moved uh for the academic school year um for the foreseeable future I will living in the dorms
"lly, it's-- it's",lly it's it's," Actually, it's-- it's like for the same reason, but I-- it's only because-- it's only when I talk to another-- okay, yeah, I talk to another Cantonese speaker, and.. I know the.. name of like, you know, a food item, or maybe an actor or something, and I'll have-- I don't know how to say it in any other way than in Cantonese, and I pray that they understand me.",Actually it's it's like for the same reason but I it's only because it's only when I talk to another okay yeah I talk to another Cantonese speaker and I know the name of like you know a food item or maybe an actor or something and I'll have I don't know how to say it in any other way than in Cantonese and I pray that they understand me
 but I-- it's,but I it's," Actually, it's-- it's like for the same reason, but I-- it's only because-- it's only when I talk to another-- okay, yeah, I talk to another Cantonese speaker, and.. I know the.. name of like, you know, a food item, or maybe an actor or something, and I'll have-- I don't know how to say it in any other way than in Cantonese, and I pray that they understand me.",Actually it's it's like for the same reason but I it's only because it's only when I talk to another okay yeah I talk to another Cantonese speaker and I know the name of like you know a food item or maybe an actor or something and I'll have I don't know how to say it in any other way than in Cantonese and I pray that they understand me
only because-- it's,only because it's," Actually, it's-- it's like for the same reason, but I-- it's only because-- it's only when I talk to another-- okay, yeah, I talk to another Cantonese speaker, and.. I know the.. name of like, you know, a food item, or maybe an actor or something, and I'll have-- I don't know how to say it in any other way than in Cantonese, and I pray that they understand me.",Actually it's it's like for the same reason but I it's only because it's only when I talk to another okay yeah I talk to another Cantonese speaker and I know the name of like you know a food item or maybe an actor or something and I'll have I don't know how to say it in any other way than in Cantonese and I pray that they understand me
k to another-- okay,k to another okay," Actually, it's-- it's like for the same reason, but I-- it's only because-- it's only when I talk to another-- okay, yeah, I talk to another Cantonese speaker, and.. I know the.. name of like, you know, a food item, or maybe an actor or something, and I'll have-- I don't know how to say it in any other way than in Cantonese, and I pray that they understand me.",Actually it's it's like for the same reason but I it's only because it's only when I talk to another okay yeah I talk to another Cantonese speaker and I know the name of like you know a food item or maybe an actor or something and I'll have I don't know how to say it in any other way than in Cantonese and I pray that they understand me
I'll have-- I do,I'll have I do," Actually, it's-- it's like for the same reason, but I-- it's only because-- it's only when I talk to another-- okay, yeah, I talk to another Cantonese speaker, and.. I know the.. name of like, you know, a food item, or maybe an actor or something, and I'll have-- I don't know how to say it in any other way than in Cantonese, and I pray that they understand me.",Actually it's it's like for the same reason but I it's only because it's only when I talk to another okay yeah I talk to another Cantonese speaker and I know the name of like you know a food item or maybe an actor or something and I'll have I don't know how to say it in any other way than in Cantonese and I pray that they understand me
 and it's-- it's,and it's it's,"Um, and it's-- it's definitely like, sixty to seventy percent Asian-American.",Um and it's it's definitely like sixty to seventy percent Asian American
y percent Asian-American.,y percent Asian American,"Um, and it's-- it's definitely like, sixty to seventy percent Asian-American.",Um and it's it's definitely like sixty to seventy percent Asian American
mply being-- tha-,mply being tha,I would definitely define it much more loosely than.. simply being-- tha-- or than being Chinese.,I would definitely define it much more loosely than simply being tha or than being Chinese
ng-- tha-- or t,ng tha or t,I would definitely define it much more loosely than.. simply being-- tha-- or than being Chinese.,I would definitely define it much more loosely than simply being tha or than being Chinese
" uh, it's-- yeah",uh it's yeah,"My friend circle, uh, it's-- yeah, a majority::-- definitely a majority Asian, I would say.. maybe.. up to like, eighty or ninety percent, honestly. ",My friend circle uh it's yeah a majority definitely a majority Asian I would say maybe up to like eighty or ninety percent honestly
"h, a majority::-- defi",h a majority defi,"My friend circle, uh, it's-- yeah, a majority::-- definitely a majority Asian, I would say.. maybe.. up to like, eighty or ninety percent, honestly. ",My friend circle uh it's yeah a majority definitely a majority Asian I would say maybe up to like eighty or ninety percent honestly
 ... s::ort-- a li,sort a li,"Um, ... s::ort-- a little bit?",Um sort a little bit
ther gr-- grou,ther gr grou,"Wait, other gr-- groups of.. like--",Wait other gr groups of like
oups of.. like--,oups of like,"Wait, other gr-- groups of.. like--",Wait other gr groups of like
"ttle bit-- or, ",ttle bit or,"Uh it's definitely:: a little bit-- or, not a little bit--  definitely more broad.",Uh it's definitely a little bit or not a little bit definitely more broad
ttle bit--  def,ttle bit def,"Uh it's definitely:: a little bit-- or, not a little bit--  definitely more broad.",Uh it's definitely a little bit or not a little bit definitely more broad
"Oh yeah, s--",Oh yeah s,"Oh yeah, s--",Oh yeah s
I-- I noticed,I I noticed,"I-- I noticed that theme as well in what I am s-- when I'm talk-- when I'm:: trying to describe it but.. I:: guess like yes, you can care about it, or you don't have to care but I mean if you call it home then-- I guess if you call it home-- that place home:: or-- (yeah) I guess that is also.. different like criteria as well.",I I noticed that theme as well in what I am s when I'm talk when I'm trying to describe it but I guess like yes you can care about it or you don't have to care but I mean if you call it home then I guess if you call it home that place home or yeah I guess that is also different like criteria as well
I am s-- when,I am s when,"I-- I noticed that theme as well in what I am s-- when I'm talk-- when I'm:: trying to describe it but.. I:: guess like yes, you can care about it, or you don't have to care but I mean if you call it home then-- I guess if you call it home-- that place home:: or-- (yeah) I guess that is also.. different like criteria as well.",I I noticed that theme as well in what I am s when I'm talk when I'm trying to describe it but I guess like yes you can care about it or you don't have to care but I mean if you call it home then I guess if you call it home that place home or yeah I guess that is also different like criteria as well
 I'm talk-- when,I'm talk when,"I-- I noticed that theme as well in what I am s-- when I'm talk-- when I'm:: trying to describe it but.. I:: guess like yes, you can care about it, or you don't have to care but I mean if you call it home then-- I guess if you call it home-- that place home:: or-- (yeah) I guess that is also.. different like criteria as well.",I I noticed that theme as well in what I am s when I'm talk when I'm trying to describe it but I guess like yes you can care about it or you don't have to care but I mean if you call it home then I guess if you call it home that place home or yeah I guess that is also different like criteria as well
home then-- I gu,home then I gu,"I-- I noticed that theme as well in what I am s-- when I'm talk-- when I'm:: trying to describe it but.. I:: guess like yes, you can care about it, or you don't have to care but I mean if you call it home then-- I guess if you call it home-- that place home:: or-- (yeah) I guess that is also.. different like criteria as well.",I I noticed that theme as well in what I am s when I'm talk when I'm trying to describe it but I guess like yes you can care about it or you don't have to care but I mean if you call it home then I guess if you call it home that place home or yeah I guess that is also different like criteria as well
l it home-- that,l it home that,"I-- I noticed that theme as well in what I am s-- when I'm talk-- when I'm:: trying to describe it but.. I:: guess like yes, you can care about it, or you don't have to care but I mean if you call it home then-- I guess if you call it home-- that place home:: or-- (yeah) I guess that is also.. different like criteria as well.",I I noticed that theme as well in what I am s when I'm talk when I'm trying to describe it but I guess like yes you can care about it or you don't have to care but I mean if you call it home then I guess if you call it home that place home or yeah I guess that is also different like criteria as well
me:: or-- (yea,me or yea,"I-- I noticed that theme as well in what I am s-- when I'm talk-- when I'm:: trying to describe it but.. I:: guess like yes, you can care about it, or you don't have to care but I mean if you call it home then-- I guess if you call it home-- that place home:: or-- (yeah) I guess that is also.. different like criteria as well.",I I noticed that theme as well in what I am s when I'm talk when I'm trying to describe it but I guess like yes you can care about it or you don't have to care but I mean if you call it home then I guess if you call it home that place home or yeah I guess that is also different like criteria as well
 self-identification ,self identification, self-identification ,self identification
But--,But,But--,But
he right word-- ,he right word, is not the right word-- ,is not the right word
bout Tibet-- Tibe,bout Tibet Tibe,"Like I'm pretty sure a lot of people.. like care about Tibet-- Tibetans, but I'm pretty sure that.. a lot of people aren't-- don't identify as Tibetans.",Like I'm pretty sure a lot of people like care about Tibet Tibetans but I'm pretty sure that a lot of people aren't don't identify as Tibetans
ople aren't-- don',ople aren't don,"Like I'm pretty sure a lot of people.. like care about Tibet-- Tibetans, but I'm pretty sure that.. a lot of people aren't-- don't identify as Tibetans.",Like I'm pretty sure a lot of people like care about Tibet Tibetans but I'm pretty sure that a lot of people aren't don't identify as Tibetans
 I'd say-- I fe,I'd say I fe,"You don't necessarily need to have an HK ID per se ? , as long as you care about Hong Kong, you identify with Hong Kong, I'd say-- I feel like you could call yourself a Hong Konger.",You don't necessarily need to have an HK ID per se as long as you care about Hong Kong you identify with Hong Kong I'd say I feel like you could call yourself a Hong Konger
eel like (xx)-- ,eel like, I feel like (xx)-- ,I feel like
l like it all--,l like it all, I feel like it all--,I feel like it all
at's actually-- that,at's actually that,okay that's actually-- that actually fucks it up even more.,okay that's actually that actually fucks it up even more
 code-switch ,code switch, code-switch ,code switch
uess that's-- that,uess that's that,"Like I guess that's-- that's probably a flaw in my like.. care about-- ... in my, like-- my adding of the characteristic caring about the certain place.",Like I guess that's that's probably a flaw in my like care about in my like my adding of the characteristic caring about the certain place
care about-- ... ,care about,"Like I guess that's-- that's probably a flaw in my like.. care about-- ... in my, like-- my adding of the characteristic caring about the certain place.",Like I guess that's that's probably a flaw in my like care about in my like my adding of the characteristic caring about the certain place
" my, like-- my a",my like my a,"Like I guess that's-- that's probably a flaw in my like.. care about-- ... in my, like-- my adding of the characteristic caring about the certain place.",Like I guess that's that's probably a flaw in my like care about in my like my adding of the characteristic caring about the certain place
This is-- this,This is this,This is-- this conversation is making me question a few things.,This is this conversation is making me question a few things
r in Am-- Hong,r in Am Hong,Hong Konger in Am-- Hong Kongnese American.,Hong Konger in Am Hong Kongnese American
-- uh... ,uh,-- uh... ,uh
self-identify with ,self identify with,self-identify with ,self identify with
-- uh:: ,uh,-- uh:: ,uh
"-- mm, it's ",mm it's,"-- mm, it's hard to define ",mm it's hard to define
"Hong Konger-- no, ",Hong Konger no,"you care about Hong Kong, ... you don't necessarily have to hold... um, the Hong Konger-- no, not Hong Konger.",you care about Hong Kong you don't necessarily have to hold um the Hong Konger no not Hong Konger
uess I'll--... I ha,uess I'll I ha,So:: I guess I'll--... I have to remove that... from.. the ,So I guess I'll I have to remove that from the
 bi-- answer ,bi answer, bi-- answer ,bi answer
 hard to say-- ,hard to say,so that's:: where it becomes a bit hard to say-- ,so that's where it becomes a bit hard to say
-- but other,but other,-- but otherwise ,but otherwise
call--,call,call--,call
qual-- ,qual,qual-- ,qual
"ke a hyper-- um, ",ke a hyper um,"I'm on this kind of like a hyper-- um, conscious @ side of",I'm on this kind of like a hyper um conscious side of
 the so-- the ,the so the,"Uhh:: like a political dimension of the so-- the so-- the society, does, does that mean like, they're not true like Chinese I don't think so, so I don't, ",Uhh like a political dimension of the so the so the society does does that mean like they're not true like Chinese I don't think so so I don't
 the so-- the ,the so the,"Uhh:: like a political dimension of the so-- the so-- the society, does, does that mean like, they're not true like Chinese I don't think so, so I don't, ",Uhh like a political dimension of the so the so the society does does that mean like they're not true like Chinese I don't think so so I don't
"-- eh uh::,",eh uh,"-- eh uh::,",eh uh
open-mind,open mind,open-mind,open mind
 are part-- thos,are part thos,"xxx like the people then, the people, the people who find themselve, like distinct from Chinese feel for where is x, like social habit, or how, manner, or, thinking even. I think those are part-- those are part of the values of Hong Kongers too.",like the people then the people the people who find themselve like distinct from Chinese feel for where is like social habit or how manner or thinking even I think those are part those are part of the values of Hong Kongers too
 the Ameri-- the ,the Ameri the,"I think they are trying to get some more align with the Ameri-- the mainstream society, so,",I think they are trying to get some more align with the Ameri the mainstream society so
"all, that's-- that",all that's that,"That's all, that's-- that's it.",That's all that's that's it
they w-- how ,they w how,"Uh, the values, things like, like how the Hong Kong is doing things. Like how they w-- how us to win...stuff, I think those are kind of like, one of the part of immersion of it, to be a Hong Konger.",Uh the values things like like how the Hong Kong is doing things Like how they w how us to win...stuff I think those are kind of like one of the part of immersion of it to be a Hong Konger
 the s-- the ,the s the,"Well:: I was born and raised in Hong Kong mostly, the s-- the school I attended more, and the environment was more, told me that I'm a Hong Konger, like, the Chinese is not very strong, like those sort of thing kind of raised my identity.",Well I was born and raised in Hong Kong mostly the s the school I attended more and the environment was more told me that I'm a Hong Konger like the Chinese is not very strong like those sort of thing kind of raised my identity
ally bel--- they,ally bel they,"None, they...don't really bel--- they don't really pay attention, attention about religion.",None they...don't really bel they don't really pay attention attention about religion
 the onl-- the ,the onl the,"That's pretty much the onl-- the only m-- the only langauge, we talk to.",That's pretty much the onl the only m the only langauge we talk to
only m-- the ,only m the,"That's pretty much the onl-- the only m-- the only langauge, we talk to.",That's pretty much the onl the only m the only langauge we talk to
 the p-- the ,the p the,"The others, the p-- the others people who are not, any one of those, are English..",The others the p the others people who are not any one of those are English
", its not --",its not,"Well, its not --",Well its not
xx --,,xx --,
"sh and, Chingli-- .",sh and Chingli,"Ah:: , Chinglish and, Chingli-- .",Ah Chinglish and Chingli
on't exac-- I ca,on't exac I ca,"I don't exac-- I cannot exactly pinpoint, but then there are some words that they use differently, that I can tell that,",I don't exac I cannot exactly pinpoint but then there are some words that they use differently that I can tell that
ys a Cantonese-speaking plac,ys a Cantonese speaking plac,"Hong Kong was always a Cantonese-speaking place and,",Hong Kong was always a Cantonese speaking place and
